InDel89	Example	InDel83	Proposed aetiology
InsDel1a	Pancreas::SP107784	C_ID1	Slippage during DNA replication of the replicated DNA strand
InsDel1b	Colon::SP21400	C_ID1	Slippage during DNA replication of the replicated DNA strand
InsDel1c	Breast::CPCT02010523T	C_ID1	Slippage during DNA replication of the replicated DNA strand
InsDel1d	Esophagus::SP111054	C_ID1	Slippage during DNA replication of the replicated DNA strand
InsDel2a	Kidney::SP123975	C_ID2	Slippage during DNA replication of the replicated DNA strand
InsDel2b	Colon::SP96118	C_ID2	Slippage during DNA replication of the replicated DNA strand
InsDel2c	Breast::CPCT02330076T	C_ID2	Slippage during DNA replication of the replicated DNA strand
InsDel3	Other::CPCT02020815T	C_ID3	Associated with tobacco smoking
InsDel4a	CNS::CPCT02100089T	C_ID4	Unknown
InsDel4b	Ovary::SP101536	C_ID4	Unknown
InsDel5a	Kidney::SP39298	C_ID5	Unknown
InsDel5b	Liver::SP112290	C_ID5	Unknown
InsDel6	Ovary::SP62616	C_ID6	Defective homologous recombination-based DNA damage repair
InsDel7	Uterus::SP90989	C_ID7	Defective DNA mismatch repair
InsDel8	Breast::SP116365	C_ID8	Repair of DNA double strand breaks by NHEJ or mutations in TOP2A
InsDel9	Pancreas::SP102617	C_ID9	Unknown	
InsDel10	Other::SP109957	C_ID10	Unknown
InsDel11	Pancreas::SP77956	C_ID11	Unknown
InsDel12	Prostate::SP112985	C_ID12	Unknown
InsDel13	Skin::SP124439	C_ID13	Ultraviolet light exposure
InsDel14	Stomach::SP84743	C_ID14	Unknown
InsDel14	Colon::CPCT02340014T	H_ID27	Unknown
InsDel17	Other::CPCT02250003T	C_ID17	Mutations in topoisomerase TOP2A	
InsDel18	Head::CPCT02070053T	C_ID18	Exposure to E.coli bacteria carrying pks pathogenicity island, producing genotoxic compound colibactin
InsDel19a	Bone.SoftTissue::CPCT02020325T	C_ID19	Unknown
InsDel19b	Skin::CPCT02340081T	C_ID19	Unknown
InsDel19c	Skin::CPCT02060041T	C_ID19	Unknown
InsDel23	Kidney::SP102957	C_ID23	Aristolochic acid exposure
InsDel24a	Colon::CPCT02010512T	H_ID24	Unknown
InsDel24b	Breast::SP2293	H_ID24	Unknown
InsDel25	Bone.SoftTissue::SP122372	H_ID25	Unknown
InsDel28	Uterus::DRUP01340014T	H_ID28	Unknown
InsDel29	Skin::SP103894	H_ID29	Unknown
InsDel30	Other::DRUP01030015T	H_ID30	Unknown
InsDel32	CNS::SP107439	H_ID32	Unknown
InsDel33	Breast::DRUP01010037T	H_ID33	Unknown
InsDel33	Stomach::CPCT02030347T	H_ID37	Unknown
InsDel34a	Prostate::SP112817	H_ID34	Unknown
InsDel34b	Colon::SP17905	H_ID34	Unknown
InsDel35	Pancreas::SP70106	H_ID35	Unknown
InsDel36	Prostate::SP112777	H_ID36	Unknown
InsDel38	CNS::CPCT02100101T	H_ID38	Unknown
InsDel39	Kidney::SP102897	
